battery,model,optimizer,test_RMSE_mean,test_RMSE_std,test_RMSE_min,test_RMSE_max,test_MAE_mean,test_R2_mean,test_MAPE_mean,hpo_time_mean,hpo_time_std,training_time_mean,training_time_std,model_size_mb_mean,model_size_mb_std,inference_ms_mean,hpo_ram_mean,train_ram_mean,n_runs,RMSE_CI_lower,RMSE_CI_upper,RandomSearch_RMSE,RMSE_Improvement_vs_RandomSearch_pct,Pareto_Optimal
B0006,RandomForest,RandomSearch,0.04115010672869946,0.0008259498228087402,0.040137602219119016,0.04332320114629745,0.036495601781546164,-3.9659034088517777,6.295544918372542,26.120635870005934,7.030969248639264,0.3801860099425539,0.23893286983474518,2.2043962478637695,1.5743543828272233,18.30162248807028,0.23828125,0.0353515625,20,0.04078811825853783,0.04151209519886109,0.04115010672869946,0.0,False
B0006,RandomForest,WOA,0.04284623172095406,0.002022512748858684,0.038642205286463636,0.04807359302281085,0.03821890867194543,-4.393041486764917,6.588782259671173,20.328145094914362,12.112673517198882,0.19405912505462766,0.1580718783523171,1.5837488174438477,1.789958754742981,10.373142489697784,0.3015625,0.024609375,20,0.0419598264265597,0.04373263701534843,0.04115010672869946,-4.1217997402462725,False
B0006,XGBoost,Bayesian,0.03966499433226893,0.0053836726265709,0.03459895966291162,0.05369506938722836,0.03498460761266597,-3.6928842781218734,6.036222615972515,103.29462127501611,43.69098289999773,0.1033028099918738,0.06834487048353156,0.27202186584472654,0.13589605201450428,0.26176251703873277,240.730078125,1.83984375,20,0.037305495771791916,0.04202449289274593,0.0874692129791961,54.652622355590466,True
B0006,XGBoost,GA,0.08907259615345982,0.03251599143304614,0.03543608616863337,0.14441316659626202,0.08680930467853869,-25.20279591450798,14.837521453052101,6.095295560080558,4.24052250718369,0.09510764002334327,0.08202502020060455,0.24946422576904298,0.11897543659170684,0.2553124912083149,1.8173828125,0.72734375,20,0.07482183458224179,0.10332335772467785,0.0874692129791961,-1.8330828867124562,False
B0006,XGBoost,GWO,0.04083294674104092,0.007986609147764591,0.03437028047963413,0.06697917906163481,0.036305837769790364,-4.065418516067725,6.259756386017868,7.097303804988042,3.87333183671294,0.11616444003302603,0.04674775442849921,0.25349440574646,0.10996477228097108,0.25680752005428076,2.341796875,1.4978515625,20,0.03733266095207277,0.04433323253000909,0.0874692129791961,53.31734978482917,False
B0006,XGBoost,PSO,0.03774112946589918,0.002669713455068101,0.03399530263387823,0.0430230378427975,0.03305432438951962,-3.1954592851699024,5.706888934280814,8.197913254983723,3.873808636448692,0.1559901649830863,0.09357985385521368,0.324691104888916,0.1865561627909137,0.2736475318670273,3.2869140625,2.08671875,20,0.036571075955767474,0.038911182976030884,0.0874692129791961,56.85209894951767,False
B0006,XGBoost,RandomSearch,0.0874692129791961,0.01105099885222281,0.06570030772417798,0.10425446605460835,0.08555402398210994,-21.76862657890063,14.623378019968374,4.803060339903459,1.7050864954805693,0.08078916997183114,0.06519640279490929,0.20396170616149903,0.089947097002143,0.2827425138093531,0.5890625,0.0205078125,20,0.08262589918723899,0.09231252677115319,0.0874692129791961,0.0,False
B0006,XGBoost,WOA,0.039951810861869455,0.006923103422838944,0.03338157380130683,0.06172401047580033,0.03542507942007828,-3.8125879709793233,6.109917954638254,6.353754689940251,3.208759870163298,0.09361301986500621,0.07207159532252153,0.20804052352905272,0.16891531790828096,0.24397755041718483,4.3755859375,1.2416015625,20,0.0369176270075985,0.0429859947161404,0.0874692129791961,54.324716661882285,True
B0018,LightGBM,Bayesian,0.009720425485587266,0.0017713862280028362,0.0072507637000478785,0.013041464197646497,0.008585195156789868,0.11180035008121467,1.2529883302456526,113.50300183994696,55.07989043803147,0.062225420004688205,0.032938483957768584,0.41840548515319825,0.2896379826280967,0.43042743345722556,238.9634765625,0.23984375,20,0.008944081241623894,0.010496769729550638,0.016240365757895385,40.14651128862906,False
B0018,LightGBM,GA,0.01769634863580349,0.006996197751346859,0.00912398146787302,0.03698604787284592,0.015968196149141137,-2.2775003633311965,2.3363868814147435,2.029634570050985,1.0014012012989522,0.03857789502944797,0.025431878795823263,0.1862398147583008,0.16789441665488683,0.4195799701847136,1.13046875,0.16484375,20,0.014630129779619113,0.02076256749198787,0.016240365757895385,-8.965209894981998,False
